state,bill_number,date_introduced,status,primary_sponsor,description,enforcement_penalties,bill_hyperlink,status_hyperlink,targets_k-12,targets_colleges,targets_state_institutions,targets_state_contractors,targets_state_agencies,targets_employers,targets_political_subdivisions,targets_state_contractor,targets_state_entities,targets_private_business,targets_non-profits,targets_tax_exempt_organizations
Alabama,HB 8,2022-01-11,Pending,Rep. Chris Pringle (R),"Bars public K-12 schools and public institutions of higher education from teaching, instructing, or training any student to adopt or believe certain concepts related to race or sex.",None specified,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2022RS/PrintFiles/HB8-int.pdf,https://legiscan.com/AL/bill/HB8/2022,1,1,0,0,0,0,0,0,0,0,0,0
Alabama,HB 9/SB 7,2022-01-11,Pending,"Rep. Ed Oliver, Sen. Will Barfoot (R)","Bars ""agencies and political subdivisions of this state, including school districts and public institutions of higher education"" from ""teach[ing], instruct[ing], or train[ing] any employee, contractor, staff member, student, or any other individual group to adopt or believe divisive concepts.""","Forfeit of current state contract
Ineligible for future contracts",https://legiscan.com/AL/bill/HB9/2022,https://legiscan.com/AL/bill/SB7/2022,1,1,1,1,0,0,0,1,0,0,0,0
Alabama,HB 11,2022-01-11,Pending,Rep. Danny Crawford (R),"Bans schools from requiring students ""to personally affirm, adopt, or adhere to"" outlined tenets allegedly associated with critical race theory, or from doing so in a course of instruction. Bans schools from ""distinguish[ing] or classify[ing] a student based on race or color."" Mandates termination of any employee who violates the provisions of the bill.",Professional discipline,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2022RS/PrintFiles/HB11-int.pdf,https://legiscan.com/AL/bill/HB9/2022,1,1,0,0,0,0,0,0,0,0,0,0
Alabama,HB 312,2022-02-08,Pending,Rep. Ed Oliver (R),"Prohibits K-12 schools and state agencies from promoting to students or employees certain ideas related to race, sex, or religion. Public colleges may teach about these ideas, but may not endorse or compel anyone to adopt or affirm them. No instructor shall be required to share their point of view about a ""widely debated and currently controversial issues of public policy or social affairs."" ","Professional discipline
",https://legiscan.com/AL/text/HB312/id/2508762/Alabama-2022-HB312-Introduced.pdf,https://legiscan.com/AL/bill/HB312/2022,1,1,0,1,1,0,0,1,0,0,0,0
Alaska,HB 228,2022-01-07,Pending,Rep. Tom McKay (R),"Bans public K-12 schools and colleges from compelling students to adopt or affirm certain ideas about race, sex, ethnicity, religion, color, or national origin. Prohibits these institutions from making any use of the 1619 Project.",Private right of action,http://www.akleg.gov/PDF/32/Bills/HB0228A.PDF,http://www.akleg.gov/basis/Bill/Detail/32?Root=hb%20228,1,1,0,0,0,0,0,0,0,0,0,0
Alaska,SB 196,2022-02-15,Pending,Sen. Lora Reinbold (R),"Bans public K-12 schools may not direct or compel students to adopt or affirm certain ideas related to ""sex, race, ethnicity, religion, color, or national origin."" They are also prohibited from contracting or otherwise engaging with any speaker who promotes these ideas without stating that the institution does not endorse these views and offering students and faculty the opportunity to opt out of the event. ",Private right of action,https://legiscan.com/AK/text/SB196/id/2517227/Alaska-2021-SB196-Introduced.pdf,https://legiscan.com/AK/bill/SB196/2021,1,0,0,0,0,0,0,0,0,0,0,0
Alaska,HB 330,2022-02-16,Pending,Rep. Ron Gillham (R),"Prohibits public K-12 and colleges from compelling, indoctrinating, persuading, or attemting to indoctrinate or persuade a student to adopt or affirm certain ideas related to ""sex, race, ethnicity, religion, color, or national origin.""",None specified,https://legiscan.com/AK/text/HB330/id/2519409/Alaska-2021-HB330-Introduced.pdf,https://legiscan.com/AK/bill/HB330/2021,1,1,0,0,0,0,0,0,0,0,0,0
Arizona,HB 2291,2022-01-18,Pending,Rep. John Fillmore (R),"Bars K-12 schools from including in their curricula certain ideas related to race, sex, and ethnic groups, nor to use any state money to finance instruction related to those concepts.","Civil suit by state AG
Monetary penalty/Loss of state financial support",https://legiscan.com/AZ/text/HB2291/id/2477996/Arizona-2022-HB2291-Introduced.html,https://legiscan.com/AZ/bill/HB2291/2022,1,0,0,0,0,0,0,0,0,0,0,0
Arizona,HCR 2001,2022-01-12,Pending Note: This is a proposed amendment to the state constitution. Passed by House.,Rep. Steve Kaiser (R),"Bans K-12 schools and colleges from requiring students to adopt or affirm certain ideas related to race or ethnicity. All K-12 employees, as well as all college employees discharging duties outside of the classroom, may not promote or endorse certain ideas related to race or ethnicity. No employee of a public school or college shall be required to affirm, as a condition of employment or promotion, certain ideas about diversity, equity, and inclusion. ",None specified,https://legiscan.com/AZ/text/HCR2001/2022,https://legiscan.com/AZ/bill/HCR2001/2022,1,1,0,0,0,0,0,0,0,0,0,0
Arizona,"HB 2112 Passed by House in amended version with language replacing the prohibition on ""inclusion"" of certain ideas with a prohibition on promoting or advocating for certain ideas.",2022-01-12,"Pending, passed by House",Rep. Michelle Udall (R),"Bars K-12 schools and state agencies involved in the instruction of K-12 students from including certain ideas related to race, ethnicity, or sex in their curricula. ","Professional discipline
Civil suit by state AG",https://legiscan.com/AZ/text/HB2112/2022,https://legiscan.com/AZ/bill/HB2112/2022,1,0,0,0,1,0,0,0,0,0,0,0
Colorado,HB 1206,2022-02-08,Pending,Rep. Dave Williams (R),"Prohibits K-12 schools from teaching or using instructional materials that promote certain ideas related to race, sex, or ethnicity. Forbids schools from segregating or making a distinction between students for various purposes on the basis of race, sex, or ethnicity.","Private right of action
Monetary penalty/Loss of state financial support",https://legiscan.com/CO/text/HB1206/id/2509015/Colorado-2022-HB1206-Introduced.pdf,https://legiscan.com/CO/bill/HB1206/2022,1,0,0,0,0,0,0,0,0,0,0,0
Florida,SB 242/HB 57,2022-01-11,Pending,Sen. Joe Gruters (R),"Bans state agencies, state contractors, and county and municipality governing bodies from teaching, advocating, or promoting divisive concepts, race or sex scapegoating, or race or sex stereotyping in employee trainings. Bans public schools and universities from teaching, advocating, or promoting divisive concepts, race or sex scapegoating, or race or sex stereotyping in curriculum or mandatory employee or student training. ",Ineligible for state contracts,https://www.myfloridahouse.gov/Sections/Documents/loaddoc.aspx?FileName=_h0057__.docx&DocumentType=Bill&BillNumber=0057&Session=2022,https://www.flsenate.gov/Session/Bill/2022/242/?Tab=RelatedBills,1,1,0,1,1,0,0,1,0,0,0,0
Florida,SB 148/HB 7,2022-01-11,Pending,"Sen. Manny Diaz (R), Rep. Bryan Avila (R)","Bars K-12 schools from adopting any instructional materials or engaging in any professional development programs that are inconsistent with certain ideas about race, sex, color, national origin, religion, or disability. Prohibits schools from making students feel ""discomfort, guilt, anguish, or any other form of psychological distress on account of his or her race."" No person may be required, as a condition of ""certification, licensing, credentialing, or passing an examination,"" to instruction that ""espouses, promotes, advances, inculcates, or compels"" individuals to believe in certain ideas about race, sex, color, or national origin.",None specified,https://legiscan.com/FL/text/S0148/2022,https://legiscan.com/FL/bill/S0148/2022,1,1,0,0,0,1,0,0,0,0,0,0
Florida,HB 1557/ SB 1834,2022-01-11,Pending,Rep. Joe Harding (R),"Bars K-12 school districts from ""encourag[ing] classroom discussion about sexual orientation or gender identity"" in primary grade levels. They are also prohibited from encouraging such discussion ""in a manner that is not age-appropriate or developmentally appropriate for students.""",Private right of action,https://www.flsenate.gov/Session/Bill/2022/1557/BillText/c1/PDF,https://legiscan.com/FL/bill/H1557/2022,1,0,0,0,0,0,0,0,0,0,0,0
Georgia,HB 888,2022-01-12,Pending,Rep. Brad Thomas (R),"Bars K-12 schools from compelling students to adopt or affirm certain ideas related to race, ethnicity, color, religion, or national origin, or to engage in or observe a discussion of public policy. Prohibits contracting with any third-party to provide instruction that promotes any of these ideas. Requires schools to make all curricular material accessible for review by parents in advance of instruction and provide a means for opting their children out of the lesson. States the legislature's intent that colleges should strive for institutional neutrality on all matters not germane to their immediate duties and functions.","Private right of action, Monetary penalty/Loss of state financial support",https://legiscan.com/GA/text/HB888/id/2474073/Georgia-2021-HB888-Introduced.pdf,https://legiscan.com/GA/bill/HB888/2021,1,1,0,0,0,0,0,0,0,0,0,0
Georgia,SB 377,2022-01-26,Pending,Sen. Jeff Mullis (R),"Bars K-12 schools, public colleges, and state agencies from including in their employee training and classroom instruction any material ""teach[ing], act[ing] upon, promot[ing], or encourag[ing]"" certain ""divisive concepts"" related to race or ethnicity. ",Monetary penalty/Loss of state financial support,https://www.legis.ga.gov/api/legislation/document/20212022/203938,https://legiscan.com/GA/text/SB377/2021,1,1,0,0,1,0,0,0,0,0,0,0
Georgia,SB 375,2022-01-26,Pending,Sen. Jeff Mullis (R),"Bars K-12 schools, political subdivisions, and state agencies from including in their employee training and classroom instruction any material ""teach[ing], act[ing] upon, promot[ing], or encourag[ing]"" certain ""divisive concepts"" related to race or sex.",None specified,https://legiscan.com/GA/text/SB375/id/2493188/Georgia-2021-SB375-Introduced.pdf,https://legiscan.com/GA/bill/SB375/2021,1,0,0,0,1,0,1,1,0,0,0,0
